Primer Producto,Segundo Producto,Fecha,Porcentaje
Aquarius,Café con leche,2021-05-11,100.0%
Caña Cerveza Rubia,Cerveza Radler,2021-05-11,100.0%
Caña Cerveza Rubia,Café Solo,2021-05-11,100.0%
Cerveza Radler,Café Solo,2021-05-11,100.0%
Cubata,Aquarius,2021-05-11,100.0%
Cubata,Cerveza Radler,2021-05-11,100.0%
Cubata,Café Solo,2021-05-11,100.0%
Cubata,Café con leche,2021-05-11,100.0%
Café Solo,Cerveza Radler,2021-05-11,100.0%
Café con leche,Aquarius,2021-05-11,100.0%
