Primer Producto,Segundo Producto,Fecha,Porcentaje
Caña Cerveza Rubia,Mojito,2021-05-12,100.0%
Bocata de tortilla,Cubata,2021-05-12,100.0%
Coca-cola,Café Solo,2021-05-12,100.0%
Caña Cerveza Rubia,Mojito,2021-05-11,100.0%
Bocata de tortilla,Patatas Lays,2021-05-12,100.0%
Coca-cola,Café Solo,2021-05-11,100.0%
Bocata de tortilla,Patatas Lays,2021-05-11,100.0%
Bocata de tortilla,Cubata,2021-05-11,100.0%
Coca-cola,Aquarius,2021-05-12,100.0%
Coca-cola,Aquarius,2021-05-11,100.0%
